Wall time,Step,Value
1696457477.8821537,1,1.6559392213821411
1696457785.9010327,2,1.5070550441741943
1696458094.0784795,3,1.5509867668151855
1696458402.8303163,4,1.5602458715438843
1696458711.4892662,5,1.32631254196167
1696459020.7976534,6,1.3140161037445068
1696459330.0895038,7,1.2950025796890259
1696459638.4425113,8,0.9803652167320251
1696459946.465875,9,1.0598989725112915
1696460254.780273,10,1.080103874206543
1696460562.743261,11,0.8579738736152649
1696460870.1893322,12,0.7484486699104309
1696461177.8509104,13,0.8244705200195312
1696461486.1912959,14,0.5861055254936218
1696461793.4894855,15,0.5475148558616638
1696462102.1580052,16,0.5507299900054932
1696462409.9167044,17,0.5774576663970947
1696462717.9776244,18,0.5942625999450684
1696463025.62016,19,0.5019950866699219
1696463332.3719862,20,0.6424450874328613
1696463639.9439476,21,0.5243122577667236
1696463946.769425,22,0.5341477990150452
1696464253.6866841,23,0.610302209854126
1696464561.524402,24,0.48941224813461304
